pull_request_id,user_id,body,github_comment_id
15932,67072,"I think I'd like to either do this, or remove the comment; if there's a need for the method to change, we'll feel it anyway.",1344018
14904,224028,can you make this protected?  also s/They/The in the comment,1344029
15932,67072,"We could probably make this change in , unless it was accidental?",1344037
16455,73030,The @param type of $data is StdClass . This is not fixed . Let me know if its ok .,1344049
15932,67072,"raising within a template is, I think, unprecedented in this codebase, so it'd be good to understand a bit more about what's going on. Is this to defend against  calls which forget to set it in their  options?",1344053
16466,9460,"because the for loop starts at -1, it will loop once. For instance, if someone picks the dates 8/9/12 and 8/9/12 and chooses to recur on Monday, no loans would be added, because the time span is for one day, which is a Thursday. Similarly, if the user cho",1344063
15932,67072,I think we could probably use a stronger selector here; this will match any other link that happens to use the organisation name.,1344083
16455,120891,"Nah, ""object"" should be fine; all objects are of StdClass anyway. If PhpDocumentor complains, we'll change it.",1344104
16123,19804,Why did these need to change? the fact that it didn't break any tests means we have some untested and unverified cases here as well.,1344122
16123,19804,why is this changing?,1344130
16123,19804,why is this needed?,1344133
13740,17321,@jeffheifetz i vote we don't use a status flag at all. See my comment about editing the existing keepSource flag.,1344140
16123,19804,if it really does need an order accessor then  should be subclassed. I don't really feel like this is needed though.,1344142
16123,19804,What does setting this to 9 mean? This is untested.,1344149
16123,19804,country code instead of currency codes?,1344157
16123,19804,I feel like an option passed in with the request would make more sense. If you want to enable it globally it could be an option to initialize as well. This should not be the default as it breaks backwards compatibility.,1344184
16210,35579,"I believe this expression would be easier to understand:



it reduces to one level of parens and drops the confusing  and  

",1344191
16495,70144,"This could be DRYed up in a similar manner to the chart_col_title in the controller, since the dd always has the same value, and only the value of the dt changes.

So, something like

<code>&lt;dt><%= (stat.to_s.titleize == ""Comments"") ? ts(""Comment Threa",1344195
16499,27507,Should these functions be exported?,1344202
16499,27507,Does this documentation explain anything?  Switch  to  ?,1344205
16455,73030,@pmjones Yes @phpdocumentor was complaining . I discusses with @mvreil and he mentioned to add  as param,1344225
14624,24810,Change to getById instead of clearing out button bar,1344265
14550,5737,Check if CanSeek is true on the source.,1344285
16499,27532,"Doesn't ""x is dependent"" mean that x depends on something else, as in ""John is dependent on nicotine"".

""x is a dependency of y"" means that y depends on x. It's slightly awkward, but you could say, ""nicotine is a dependency of John's"".
",1344297
16537,8181,"It looks like you'll only send trackadded for adding a new plugin track, and not a cue. Is this intended? ",1344314
15334,1628,Can you refactor this to use a service instead? Suggesting people to use  in controllers is not really the coolest thing :),1344328
15334,1628,I don't think we need a repository in the example :),1344335
16537,8181,"This means that track will only get trackremoved if it has a teardown defined. I don't think that is right, and this should be moved outside this if block; maybe right below the  statement?",1344355
16537,8181,"Same as above, this will only work for plugins and not cues. If this is intended, ignore this comment",1344364
14864,6597,"This is  a  every time because  is not defined. Maybe it belongs further down, and should be checking  instead?",1344368
16537,8181,Can you define a plugin that has no function definitions and still have it work? Just to make the test smaller.,1344370
15334,1628,"Let's put this in a view instead :)
`php
<table class=""table"">
    <tr>
         <th>Id</th>
         <th>name</th>
    </tr>
<?php
foreach ($this->bugs as $bug) {
    ?>
    <tr>
         <td><?php echo $bug->getId(); ?></td>
         <td><?php echo $b",1344378
15334,1628,I'd remove a lot of stuff here since it is an example :),1344387
15441,70428,"there is a merge conflict in scripts/tagger.rb with a bug fix on master branch. also, the right_link/spec/scripts/tagger_spec.rb tests have been enhanced on master so ensure your new code works with those specs.",1344390
16537,3088,"Should be for _any_ type of track being added, regardless of origin (cue, plugin, etc)",1344392
15334,1628,Ha! Let's remove credits ;),1344397
13912,90492,This is fantastic news!,1344399
15334,1628,Let's skip this and move to CLI directly... (),1344411
15995,5718,It has now been moved to lib/plugins/dialog.js,1344410
15995,5718,It has been placed on its own line.,1344415
15334,1628,Can you add the driver config here?,1344425
14624,24810,"maybe inline error into the table, like unauth",1344427
15334,1628,Let's also add  to check that all entities are there,1344434
11557,4846,"Since we know that this will happen if the original post is not there can we either 
(A) log out a more helpful exception
(B) handle it without the try catch (using NSNotFound) and then just discard the reply if we don't have the original",1344440
16565,137175,Is this import needed? That's the default I thought,1344438
11557,4846,if we're doing this now using a timestamp do we need the lastID property at all?,1344446
15334,1628,Then in the action something like ,1344453
11557,4846,was this change also applied to replies? (only ask for replies after the timestamp from the last received),1344462
16575,13565,All taken care of.,1344464
16499,27532,"I've found it useful. It lets you type this:



Instead of this:



But maybe I'm using them in a different way than originally intended -- I often use them ",1344487
16594,7271,"Unless HttpConnector is correctly published in all cases, this is not thread-safe.",1344531
14550,5733,"CanSeek is set to true.  If we use ReadToEnd the CanSeek turns to false, however if we read the stream piece by piece with Read it retains the CanSeek value.",1344587
14864,8289,"ah yeah I missed that one, typo. fixed!",1344601
16456,5158,"Seems to me that we have at least in 4 places:

var photoURL = URL.createObjectURL(contact.photo[0]);
eleme.style.backgroundImage = 'url(' + photoURL + ')';

Can we refactor to a method?

Thanks.",1344608
15489,1590,This title should have the same grade of importance as |ProgrammersReferenceGuideofZendFramework2|,1344641
15489,1590,LiveDox must have his own subtitle,1344648
15489,1590,Probably ZendService should have his own index or something,1344656
16562,30382,"Minor thing, but since you added the new attribute to the end of both the  definition and this method's , i'd propose to sort the parameters like this:
`python
def __init__(self, uncached=False, display_legend=True, items_per_line=",1344667
16565,132262,"yeah, there is a local Set class for the redis Set command, so if I want it
to have the right return type, I need immutable.

On Thu, Aug 9, 2012 at 1:13 PM, Bennett Andrews <notifications@github.com>wrote:

> In finagle-redis/src/main/scala/com/twit",1344675
16649,43400,this is to expose mailboxSize which is protected in Actor,1344721
16594,7271,"Given that the HttpServer sets this unconditionally, shouldn't this be an error state here, not ""silently return a bogus value""?",1344727
14510,61929,"Is this valuable output? I can see how it would be useful if there are problems, but it's noisy for normal usage.",1344731
16577,8792,"This link doesn't actually work.  Did you load it up and test it?  The link has to be settings.htm.  (make the page name lowercase to fit in with everything else, and name it .htm to make sure it goes through spring)",1344737
14510,11152,"I was just following the Riak way, but yeah I'm not the biggest fan of it either.   I can remove it.",1344748
13703,38004,"Bah, yes, you are right. This is why one shouldn't write code in Github's editor.

In fact, the patch isn't even consistent in that it documents three values for the log kwarg, yet only implements only one. I was originally thinking of allowing the user t",1344808
16649,288936,"The curly brace in our Scala code is usually at the end of the previous line. Maybe the code could be formatted better.

(I had to read the documentation of foldLeft to be sure...)",1344812
13098,201764,"Instead of a try/catch here, why not disable the editing functions when the view model states that the selected document is not editing? 

ie: Bind the IsEnabled property of the controls to SelectedDocument.IsEditing",1345013
14751,90492,It needs to be one z-index higher than lockscreen-main-panel. Don't know how to give a relative z-index.,1345017
16715,61935,"I couldn't find a pattern, but it wasn't a matter of unloading apps with sticky dirs like kernel.  It can happen for any of the Riak dependency apps.",1345020
16729,22378,"Thanks for describing the use-case @kennethkoontz.

The current way the Meteor auth system is set up is that once you auth against an OAuth provider your token is stored on the user document, as , for example.

My underst",1345048
16565,137175,Just return a Set[Array[Byte]] here. ,1345240
16711,7053,You copied this pattern around 4 times. Any chance you could extract it into a method?,1345252
13774,23848,"Why don't you send msg as an argument to the hook (esp msg.payload should be interresting to the hook)? Also, why isn't there an ""else"" right before the hooks.callAll?",1345258
16736,65430,This method should be rename to #debug?,1345263
16758,1954,we should cap it with strndup,1345265
15394,8903,"Ok. I thought include was a control (it's always called as a function, so where do we draw that line).",1345277
16711,7053,I started not being a very big fan of RowVector and ColumnVector be different classes from Matrix.,1345278
16776,10853,Needs platforms and since tags,1345282
15394,8903,It's not. I just thought that adding the strictness would be a nice thing to do.,1345283
16743,6993,"This should probably be :validate => :hash, then you can use @index_table_keys.each |key, value| to get the key name and the string value to sprintf against.",1345302
15394,1591," is considered a ""language construct"" not a control structure. So I think we're ok there to treat it as a function, as that is how it is being used in this form.",1345317
15394,1591,"In places where there is no clear PSR-x standard that we've adopted, we should leave the code alone.  When it comes down to it, someone else is maintaining that piece of code (the component lead), and its better to let them dictate the smaller aspects of ",1345363
16597,4848,"Switching to  is good thing in this case. But this:

and this
`objc
(self.afterCheckinAction == CPAfterCheckinActionNewUpdate) ? CPPostTypeUpdate : CPPo",1345370
16715,11154,"Either way, i removed the unloading bit. Not having it doesn't seem to affect any of our existing tests.",1345406
16499,27507,"Oh ok, that makes sense.",1345411
16729,22378,"Ah, now I understand. Yes, your point makes sense. Let's keep it in
accounts-oauth1-helpers for now.

Thanks for taking the time to help me understand the concern.

On Thu, Aug 9, 2012 at 11:31 AM, Mike Bannister <notifications@github.com>wrote:

>",1345415
16638,9552,"Should there be a ""break"" ?",1345419
16806,25905,Makes only sense if the list is sorted at some time? I don't think that's needed for coordinate descent.,1345424
16638,9552,"""If you do not have VMWare installed, install VMWare player (free):""",1345436
16813,17590,Can you add a bit about why someone would use this rather than the one that actually takes Class?,1345440
16743,6993,"%{timestamp} means the 'timestamp' field (in @fields of the event), I think this may be better written as ""%{@timestamp}"" though perhaps as long as this special case is documented as such it's fine. ",1345446
16592,14113,probably should be a global constant of a class-level method on ,1345448
16592,14113,"hmmm, also, it'd really be  :) ",1345468
16824,884,Not sure why it has to be class loader aware,1345485
16824,884,"Make message consistent with what we typically do
",1345496
11557,4844,"No, replies work fine with lastId concept.",1345503
11557,4844,LastId is used in ordering the feed (addPostsFromArray: postsArray: in CPVenueFeed). ,1345524
16824,884,This should be enclosed in IF since you are allowing NULL and it will override the default name.,1345518
11557,4846,"I understand that they work fine, was suggesting that both be the same for consistency. Guess we can't take lastID out of api call anyways since web uses that now.",1345525
11557,4846,"Gotcha, just checking.",1345535
16592,14113,"Wait, the person now is an instance of ? :)",1345537
15489,116882,"Could I kindly ask you to edit the document as you see fit. Unfortunately,
I do not understand your suggestions for improvement. I think you only have
to edit a couple lines. Thank you very for much for your assistance. ;-)
Jonathan
On Aug 9, 2012 7:3",1345545
16592,14113,"Ah, is this the place where the question about one instance_method from once class overwriting an instance_method from another class came from?

That's right. You'll get ""Kitchen goes into the Kitchen"" here, this way :)

Instead maybe you want something m",1345558
13774,357136,"I didn't really have any use for adding the payload to the hook's arguments, but that's a good idea.

I don't want to handle only non-matched message types in this, though--I want to allow custom handling of *any* message type.",1345564
11557,4844,I think that feeds and replies update should be single api call and return them both based on timestamp.,1345574
11557,4846,"The thinking here was that there could be tons of replies for a post that the user doesn't necessarily care about, bogging down the original response of posts.
It's also more complicated on the backend side as there could be a recent reply to a post that ",1345599
16123,50906,This was the only instance that is not pre-formatting and validating the order-id. I added a test case.,1345613
16123,50906,Ouch! My bad on this one. I reverted this back to the original implementation.,1345622
16597,4848,"You don't have to change it, but in C/C++/ObjC is good practice to use this: .
It will prevent this kind of bugs . It will save you a lot of time debugging. ;)",1345621
16856,217,only thing that's needed here is passthrough(x) on the child process object returned from  - if you do not do this then the user sees no output during the long pause.,1345617
16123,50906,"Agreed, I moved it to be part of the options hash. Tests are added accordingly.",1345623
16123,50906,"I think it's opinionated to embed the order_id in the authorization, especially when the order_id is already part of the request. Do you know why it was embedded here in the first place?",1345625
16123,50906,I added a documentation snippet from the official xml spec: http://download.chasepaymentech.com/docs/orbital/orbital_gateway_xml_specification.pdf,1345624
16123,50906,This is not needed. It was part of the other fork's implementation. I got rid of it.,1345626
16806,25905,"Sorry,  just figured out that for some reason pip8 got turned off in my IDE. Now I can see what you mean, I'll fix it right away.
 ",1345653
16597,4846,"much prefer  for the style.
to me it looks wrong to put  with the value you're comparing to on the left side ",1345685
15394,8903,"I've removed it. However: http://www.php.net/manual/en/function.include.php (notice how it's under ""control structures""?)",1345691
15394,8903,Also removed (all of them).,1345693
16842,4844,"Formatting and indentation doesn't seem right. Please use Xcode style, e.g.:
`objective-c
        [[[UIAlertView alloc] initWithTitle:@""""
                                    message:@""You have to be checked in to this venue to comment or +1.""
          ",1345717
13774,23848,"Well, skip the else thing then. But please send in the whole msg structure, not just the payload. That way you allow for the most flexibility in plugins, and it doesn't cost much.",1345723
16889,617,"This assumes  will always be successful. If a user closes the popup without completing the login, for example,  is null.",1345740
16894,10394,"Yes, use single backticks, like \.  Note that you need to use LaTeX notation here. ",1345759
16889,617,Nit: should use  instead of  (like you do in ),1345766
16889,617,This line doesn't do anything?!1,1345773
16597,4848,"Problem is that this is programmer's error:  and compiler won't catch it. You are not comparing, you are assigning. So this:

is equivalent to:
`
self.selectedIndex = 0
if (0) { ...",1345778
16889,617,"SuperNit: space after :



I generally do a space after  as well for anonymous functions, but I also try not to use anonymous functions. I'd actually probably rewrite this as:

`js
functio",1345798
16597,4846,"I understand the bug you're referring to and what creates the difference between the comparison and the assignment. 

I'd prefer to have the variable on the left side of the comparaison and the value being compared to on the right side as I think this mak",1345800
16565,132262,there's a namespace conflict on Set,1345809
16831,35861,Don't catch -- just throw through.,1345857
16889,617,"Not sure this should throw. That means nothing would get returned to the callback, right? I feel like with callback-style functions, there's an implied contract with the consumer that the callback should always be called, and that errors will be sent to t",1345861
16831,35861,Restore newline at end of file (many times / many files).,1345867
16887,3509,"Does Error('fo') call its own constructor or is this a typo?

 ?",1345878
16887,3509,"according to the style guidelines (for gecko/gaia?) this should be
js
if () {
}  else if() {
}
",1345890
16831,35861,"Needs a better name than ""getLists"" like ""getPlanNodeList"" to match ""getScanNodeList""",1345899
16889,617,"You don't actually use , or  here, I don't think you should bother declaring them.",1345903
16831,35861,"Don't ignore inline nodes -- iterate over them, just like in getScanNodeList_recurse . (Don't forget to remove the comment)",1345927
16938,199762,I'm not sure because they are very specific on what we are going to test. I've added more tests to test warnings and errors.,1345936
16887,3509,"hmm does this add extra args you don't want or something to imageDeleted?

Seems like you could pass it directly and avoid the extra anon functions for each onchange?",1345958
16831,35861,"It doesn't make sense to test for null here but not test for it in the other loadFromJSONObject methods that load members.
They would crash if they really got a null.
Instead, ""assert(jobj != null);"".",1345984
16945,32921,"good catch. I think I rather dumb it down a bit to only accept str and let the py2 version be a lambda x: x
to much magic will only hurt",1345986
16831,35861,update the comment -- inline_nodes are handled.,1345992
8268,31665,"well yes, and so was nexus-test-common before that - but in fact in some cases it seemed direct declaration of dependency was required in the past -  some cases a compile scope dependency was depending on junit version x and that was overriding nexus-test",1346001
8415,866,Shouldn't this be called RedisStoreMessageSource ???,1346004
16831,35861,"Classes that don't have a toJSONString method don't need a loadFromJSONObject method. 
Back out this change.",1346014
16953,21420,"It is 1 at the moment, because I was restricting everything to R^2 to get
something working.  I'm going back over the kmeansp and kmeansbi to extend
them for R^M, which is what we have already done with the gomatrix library.

You are correct about the",1346026
8268,31598,"I think if we are going to spend the effort to update the deps, we should spend the effort to minimize there declarations as well.",1346042
9698,168953,"This probably should be ""unneeded"". However, I would suggest ""unnecessary"", as I think it's used more.",1346061
16565,137175,Return types should be generic and not tied to the implementation.  scala.collection.Set is the generic set trait. Alternatively you can rename the redis set or scala set via imports.,1346080
8415,866,"Again, I don't think we want to confuse new users with this. If you want a literal, use 'key' instead - seasoned SpEL users will know they can use a SpEL literal here.",1346083
8415,884,I like 'adapter' and we already have (with quick search) AmqpInboundChannelAdapter,1346096
16482,11834,aren't you missing an  somewhere?  Even better would be  if that's the only function we'll need.,1346095
16968,6751,"The padding should be set to (8,0,8,0) to ensure that it causes no regressions.",1346101
16973,11157,"It looks to me like this call to service_registered has the desired effect of removing the service from the riak_api_pb_server's dispatch state; however I don't think it's  are being treated as cleanly. I'm not sure if that matters, but I think it",1346114
14575,1561,Do you want to try moving the unicode character to the end so it's the last thing before the newline?,1346122
16945,9880,I agree about magic. :),1346139
14637,37247,You'll get used to it ;),1346144
8415,866,"Well, that is not wrapped in an SPCA.

A quick check of sublasses of AbstractPollingInboundChannelAdapterParser point to classes ending with MessageSource - the method is called 'parseSource' after all :-)


protected BeanMetadataElement parseSource(E",1346147
16968,6751,We may want to call requestLayout() when setting the shadow layer as well.,1346159
16968,6751,call requestLayout() here too,1346185
14575,50745,"Wow,  that seemed to trigger it.",1346228
8415,16398,"This IS a MessagSource, so yes RedisStoreMessageSource is the right name. The SPCA is the adapter, delegating to a source.

The AmqpInboundChannelAdapter is different. It's an active component (not polled) that extends MessageProducerSupport so it has the",1346240
16482,11835,"hum...strange about the import .
",1346244
13137,42019,"a little more nitpickery (but fixing this isn't mandatory, it's just for future use) - 'return NULL' on its own line",1346261
13137,42019,"braces aren't necessary for single line conditionals (if I haven't mentioned in the past, I tend to follow quite closely to Qt's code styling guidelines) - but again, more nitpickery that isn't necessary to fix",1346274
16968,6751,"What happens when the user sets only one of shadow color or shadow offset?  Should we have some default values for these? If both are needed, we should only call setShadowLayer() when both are present.",1346287
16968,6751,"Similar to the comment above, what happens when you call setShadowLayer() when 0 for some of these fields?",1346299
16726,28321,"This is the only thing I don't like in the whole script.  Do we need that?  If you take it out and ""outdent"" the stuff below it, then the CR is okay AFAIC.",1346303
17022,394711,Please also pull 9f59a0b7fd0eaff72b80e9741337d596bb885a4c to remove the now redundant check,1346345
16761,67519,"I think this method should be in the test class, not in the provider class",1346374
10934,75018,Are we still using  somewhere?,1346377
16806,25905,"The ever_active_set is also needed in the basic use case (Simple, one alpha fit with ElasticNet), it can't be stored in enet_path then.",1346384
16973,11157,"If you're deregistering a range of codes, it calls set_env once per code, unlike during registration, where it updates the dict once per code, but calls set_env just once for the range.",1346391
16973,11154,Good catch. This is probably spammy and race-prone.,1346421
16973,11154,"Yes, maybe it should be changed to have a  function.",1346431
17064,2616,Kill this log line. (And: typo.),1346452
16806,27838,"> I commit already not working code so we can agree on where to implement things.

I cannot read non-working code: I would need source access to the brain
of the guy who wrote it(can I get commit rights too ? :} ) to figure out
how he wants to make it wor",1346460
10934,11930,We're not using  or  anywhere.,1346463
17003,16647,@mdineen was this still failing? Not sure if the  was missed.,1346465
16806,27838,">    Because the prototype told me so. The prototype is gold standard
>    also for the other tests.

What do you mean by 'the prototype'?",1346472
15995,16705,I think it makes more sense to access the controller from the dialog code.  Context menus do it that way,1346490
17003,16647,"Empty lines _could_ be removed (nitpick, lol). :-P",1346494
16806,27838,"> The ever_active_set is also needed in the basic use case (Simple, one alpha fit with ElasticNet)

Why? I don't understand. All we need is to learn the coefficients.",1346501
17003,16647,"Usually, var statements with multiple lines are indented once more to the right (IMO better readability), but your call, that is an opinion, and a nitpick. :-)",1346523
16839,46783,"This channel should be buffered, so the instance monitor doesn't have to wait for the listener to read from the channel before continuing.

Actually, this opens up a vulnerability (not a security vulnerability, but a deadlock vulnerability). If the person",1346557
15774,859,no need to extend the other class,1346569
16983,69367,"Maybe you could copy over the docstring examples from numpy here, so they get tested.",1346589
17084,11836,"Achtung! The default encoding is locale-dependent, not always UTF-8. This won't do what you expect on Windows, in cron jobs, and so on.

(This is one thing where I think they really screwed up with Python 3, but it's been discussed before and apparently i",1346634
15995,16705,Remove baton from show(),1346648
15995,16705,Do not continue from this point if there is no baton,1346657
13489,8181,What about making this a  or  event so that we know the video is playing?,1346664
17084,11835,"but,  as a global variable set as ! 
so do we want to force everything as utf-8 ? and use  everywhere ?",1346676
16781,11391,"I don't know, but wouldn't it be better to let the Thread sleep for a short period if the service isn't available? Or will this block something? Don't know how long it normally takes until the service is available normally. Maybe it could also be interest",1346690
16781,11391,I think this line is too long.,1346695
17084,11836,"We could use . I don't think there's any reason to save HTML in anything other than UTF-8, though.",1346747
16806,25930,"> Makes only sense if the list is sorted at some time? I don't think that's needed for coordinate descent.

yes but that's a reasonable choice to keep the set ordered so when you
loop over features on only just positively in memory. In other words
it avoi",1346835
16806,25930,"> The ever_active_set is also needed in the basic use case (Simple, one alpha fit with ElasticNet)
> Why? I don't understand. All we need is to learn the coefficients.

same feeling here.

if you do:

lasso = Lasso(alpha=1, use_srong_rule=True)
lasso.fit(",1346857
17123,395492,"Hate to monkey-patch, and would have called the original highlight function, but the original throws errors if you call it.",1346873
17165,25534,Do you mind adding this to the header instead?,1346893
16304,9244,HI Matt - we're going to deprecate $eventdata->files soon which is why it was removed from the master code - do you have custom code that uses/relies on this?,1346905
16304,9244,tabs look a little weird here?,1346918
14243,28330,"Okay, this scares me. ReloadData is VERY expensive and worse yet, has in the past stomped on interface state machines and caused tables to become unresponsive. Are you sure reloadData is needed?",1346930
16726,10858,Oops... Heh. Leftover fragment from debugging. I'll fix that right up.,1346989
13489,1715,"I already test for autoplay and loop working, so this just tests that they are set when they would be read.  This is fine.",1347004
17212,8181,Do you need to specify  here or is that the default?,1347025
17212,17369,That is the default; not necessary.,1347042
17212,8181,"what about  instead? Kate, is there any functional difference?",1347062
11821,884,I'll fix it when merging,1347086
17021,3792,"This should be [elem[""frm_name""] for elem in result]",1347110
16511,26686,Defining arrays like this does not allow fast indexing (this was true in cython <0.16; I'm not sure if it's been fixed that since then). ,1347118
16511,26686,"I should specify: I believe defining numpy arrays as a *function argument* leads to fast indexing, but defining arrays as variables does not.",1347122
16511,25930,"dgemm is not in the shipped cblas 

we'll need @fabianp one more time for windows :)",1347135
17021,3792,hek.attrs.EventType(EventType) should read hek.attrs.FL,1347141
17228,3509,"I am really not a fan of adding a click handler to the whole page.
I will likely replace this with a animation handler hack so this behaviour
will only be added to specific elements as they hit the dom. (As seen in x-tags and other libs)",1141497
17231,64708,What about commenting on another comment?,1141614
17232,29359,I don't see where we use this method in the tests. We should remove it if we don't use it.,1141587
17231,64708,"We don't need to set the user, it should automatically be assigned from the current_user.",1141624
17233,211998,@qwcode I'd rather not require and assert a specific version; that feels like it wouldn't demonstrate the typical scenario where this set of features will be useful.  It also wouldn't help me clean up the assertions in `test_upgrade_with_unneeded_recursiv,1141723
17233,37548,Is there a verdict on this? Keep it or not?,1141771
6682,14800,I would rather see us come up with a well-defined way of injecting heira data so that it's safe for us to always clobber the hiera.yaml with our stadard version,1141781
6728,8141,"Ok, maybe just a comment to the effect that the arbitrary selection of transitions is intended to be representative but not exhaustive - might help a maintainer if a refactoring later breaks something either covered or not covered by the test.",1141653
6682,14800,"I agree with this concept, but I think we need a more descriptive fact name here.",1141788
17234,1638,"Instead of using 'h', perhaps we should use constants? Imho that would make the code more legible.",1141823
17234,1638,"AFAIK the goal is to keep vars out of quotes

$line . ""\n""",1141857
16575,13565,I should probably add measures to ShapePart if we want them to be useful. Right now it's very difficult to index into the measures array to find the values for a specific part.,1141745
17229,199518,"I think ""estimatedSize"" is better indeed...

""estimatedGainForLeftSafeLiteral""  is good too.",1141572
17236,114365,"This line does nothing, I used it to have a breakpoint for debugging. You can delete it.",1141947
6821,73683,"can we do this?
",1141936
17234,1638,Can't this just be elseif() ?,1141905
17237,106509,"Is this an error in imagebuf.h:

reres (const ImageBuf &spec)

Should it not use ImageSpec instead? I see the implementation only needs
a spec.",1141987
17238,4359,"Still not sure about contents validation, since as a single function it turns out to be quite ugly :|",1141925
17234,1638,"$output already had a value assigned on line 309. Not sure if overwriting that is the way to go.

If correct I would suggest:
if (!$head) {
   $output = $tableText->render();
} else {
  //  ... this code block;",1141986
16429,90352,I think we should use of a sekizai tag here to provide the css resources so that the style is available in any cms page.,1142003
17234,1638,"CS, spacing between arguments",1141989
6771,268156,"If we're not using puppet, is this line necessary?",1142051
6711,5827,ideally this would go in a  since it's needed for every test,1142063
17239,4343,"Yes, I forgot to remove manage-orgs",1142067
17234,1638,"CS, spacing around comparator",1141999
6771,1065,"Not strictly necessary, but one of the box tests in Veewee checks to see if Puppet is installed. I had to flip a coin to decide whether to remove the Puppet stuff and leave that test failing or not. If you have a strong opinion either way, it can certainl",1142086
6771,268156,It's too bad it's still version 1.8.7 in the CentOS 6 base repo ...,1142087
6779,55227,"@ginko This code looks like it could be cleaned up quite a lot.  Just declare all these variables first as blank strings, then in your if blocks just set the variable(s) that is (are) different under that condition.

You could also change the if/elsif/end",1142088
6771,1065,"Also, the intent was to leave these boxes and configs publicly available, and it seems the community standard is to have both Puppet and Chef available.",1142093
17234,1638,"""\ No newline at end of file""",1142004
17243,23644,"

Just push commits to your branch, no need for new PR.",1142163
17245,1638,"Paddy, could you please leave the old tests in there as well? That way we ensure there are no BC issues (or at least become aware were there any).",1142164
17241,138835, or  from the  module.,1142098
17234,1638,"A little indentation wouldn't hurt. Can't say much about the rest of this.

""if it works, it works for me ;)""",1142037
17245,1638,So what do we do about that bug?,1142169
17245,1638,Sorry for repeating myself ;) Could you please leave the old tests in there as well? That way we ensure there are no BC issues (or at least become aware were there any).,1142175
17234,6383,Because we have only three options here and because I used the standard values of many shell commands  I think it's not a good idea. Generally speaking you are right but in this case I think is not so necessary.,1142226
17234,6383,It's only a quick way to obtain the same result here.,1142232
17247,28094,Is this github being stupid?,1142246
6857,4828,"How would that work? You should also update the config.php and check.php to use your requirement class, which won't work as we also override them.",1142260
17247,28094,Circles don't have vertices :)  But actually is this even used anywhere? It looks like  just calls ,1142266
17249,34389,please remove the null check. should be consistent regardless of prefix,1142240
16575,13565,"The property was changed so it could be updated after the polygon's inner and outer rings were joined. Once that code is refactored and decoupled from the shapefile project, this will go back to being immutable.",1142249
17234,6383,"Actually the indentation is not possible here because I used some white spaces to indent the XSLT output.
This is a general XLST file to convert a docBook structure in reStructuredText format.
I used the XSLT syntax + the special template php:function() u",1142282
17240,31774,"I remember that too. I must have rebased it in when I wasn't paying attention. Anyway, it's fixed now. I :purple_heart: deleting code!",1142105
